Where,lat,lng
Tennessee Greenbrier,36.4275477,-86.8047199
Romania ,45.943161,24.96676
Puerto Rico Morovis,18.325785,-66.4065592
Utah Hyde Park,41.7988186,-111.8191107
California La Puente,34.0200114,-117.9495083
Massachusetts Chicopee,42.1487043,-72.6078672
Ohio Stryker,41.50366229999999,-84.4141164
Illinois Chicago,41.8781136,-87.6297982
Croatia Sesvete,45.82724169999999,16.1112533
Virginia ,37.4315734,-78.6568942
Texas Teague,31.6271145,-96.28386200000001
Utah Ogden,41.223,-111.9738304
Germany Heilbronn,49.1426929,9.210879
New York Trumansburg,42.5422939,-76.6660589
Georgia Hinesville,31.8315028,-81.6141099
New Hampshire Richmond,42.7544657,-72.27158760000002
New Jersey Newark,40.735657,-74.1723667
Pennsylvania York,39.9625984,-76.727745
New York Locust Valley,40.8759324,-73.5970707
Ohio Lancaster,39.7136754,-82.5993294
Colorado Cortez,37.3488827,-108.5859265
Virginia Carrollton,36.9468152,-76.5605078
Texas Spearman,36.1983665,-101.1923795
Pennsylvania Johnstown,40.32674069999999,-78.9219698
Pennsylvania Export,40.4181235,-79.6255989
Washington Brush Prairie,45.7328944,-122.5464856
Virginia Lexington,37.78402080000001,-79.4428157
Pennsylvania Hookstown,40.5992324,-80.4728444
Washington Leavenworth,47.5962326,-120.6614765
Czech Republic Unknown,49.81749199999999,15.472962
North Carolina Morehead City,34.7229391,-76.7260436
California National City,32.6781085,-117.0991967
West Virginia Thornton,39.3456484,-79.9420176
Hawaii Waikoloa,19.9372484,-155.7910681
Czech Republic ,49.81749199999999,15.472962
South Carolina Summerville,33.0185039,-80.17564809999999
California South Gate,33.954737,-118.2120161
Colorado Loveland,40.3977612,-105.0749801
New Jersey Fort Lee,40.8509333,-73.9701381
Alaska Anchorage,61.2180556,-149.9002778
New York Brooklyn,40.6781784,-73.9441579
California Simi Valley,34.2694474,-118.781482
Alaska Juneau,58.3019444,-134.4197221
Georgia Unknown,32.1656221,-82.9000751
Utah Monticello,37.8713829,-109.3428948
Indiana Columbus,39.2014404,-85.9213796
North Carolina Jackson Springs,35.2097413,-79.6259209
Alaska Wasilla,61.58087629999999,-149.4410598
North Carolina Youngsville,36.0248732,-78.4744439
California Barstow,34.8957957,-117.0172826
Maryland Baltimore,39.2903848,-76.6121893
Ohio Kettering,39.68950359999999,-84.1688274
Illinois Bloomington,40.4842027,-88.99368729999999
Maryland Edgewood,39.4187194,-76.2944016
California San Luis Obispo,35.2827524,-120.6596156
Maryland Takoma Park,38.9778882,-77.0074765
Illinois Tamaroa,38.137828,-89.2300807
California Stockton,37.9577016,-121.2907796
North Carolina Rolesville,35.9232073,-78.45749959999999
Oklahoma McAlester,34.9334298,-95.76971309999999
Illinois Fairview,40.6333724,-90.16373170000001
California Irvine,33.6845673,-117.8265049
Illinois Granite City,38.7014389,-90.14871989999999
Massachusetts Unknown,42.4072107,-71.3824374
Virginia Unknown,38.876392,-77.0721696
New Mexico Albuquerque,35.0843859,-106.650422
New York Coram,40.8687096,-73.0014946
Georgia Statesboro,32.4487876,-81.7831674
Pennsylvania Philadelphia,39.9525839,-75.1652215
Texas Mercedes,26.1497977,-97.91361119999999
New York Bronx,40.8447819,-73.8648268
Minnesota Plymouth,45.0105194,-93.4555093
United Kingdom North Wales,53.0711149,-3.8080783
United Kingdom London,51.5073509,-0.1277583
Michigan Kalamazoo,42.2917069,-85.5872286
New Mexico Rio Rancho,35.2327544,-106.6630437
California Camarillo,34.2163937,-119.0376023
Florida Pensacola,30.42130899999999,-87.2169149
Wisconsin Milwaukee,43.0389025,-87.9064736
West Virginia Moundsville,39.9203526,-80.7431407
Texas Abilene,32.4487364,-99.73314390000002
Georgia McDonough,33.4473361,-84.1468616
NATO ,37.09024,-95.712891
Georgia ,32.1656221,-82.9000751
Georgia Buford,34.1206564,-84.0043513
Kentucky Lexington,38.0405837,-84.5037164
Rhode Island Bristol,41.6771101,-71.26620249999999
Alabama Talladega,33.4359416,-86.1058048
Florida Melbourne,28.0836269,-80.60810889999999
Massachusetts Whitinsville,42.1112075,-71.6661783
California Bakersfield,35.3732921,-119.0187125
New York New York,40.7127753,-74.0059728
Arizona Mesa,33.4151843,-111.8314724
Indiana Noblesville,40.0455917,-86.0085955
Maryland Nanticoke,38.2727065,-75.9055674
Ohio Grove City,39.88145189999999,-83.0929644
Michigan Bay City,43.5944677,-83.8888647
California Oceanside,33.1958696,-117.3794834
Louisiana DeRidder,30.8463055,-93.2890527
Ohio Columbus,39.9611755,-82.99879419999999
Poland ,51.919438,19.145136
Ohio Reynoldsburg,39.9547861,-82.81211909999999
Virginia Suffolk,36.7282054,-76.5835621
Massachusetts Northborough,42.3195556,-71.6411997
California Eureka,40.8020712,-124.1636729
Florida Ruskin,27.7208633,-82.4331495
Texas Houston,29.7604267,-95.3698028
New York Schenectady,42.8142432,-73.9395687
Nebraska Hickman,40.6191676,-96.633629
California Visalia,36.3302284,-119.2920585
Wisconsin Kenosha,42.5847425,-87.82118539999999
Australia Gosford,-33.426667,151.341667
Texas New Braunfels,29.7030024,-98.1244531
New Hampshire Peterborough,42.8706048,-71.95167459999999
Virginia Stafford,38.4220687,-77.4083086
Iowa Cedar Rapids,41.9778795,-91.6656232
Illinois Mokena,41.5261437,-87.8892189
Ohio Beaver,39.0306272,-82.8243382
California Pasadena,34.1477849,-118.1445155
Georgia Butler,33.5015248,-81.9678931
Washington Sprague,47.3001584,-117.9755065
California Merced,37.3021632,-120.4829677
Missouri Hillsboro,38.2322766,-90.5629034
Pennsylvania Orwigsburg,40.654813,-76.10077129999999
Colorado Thornton,39.8680412,-104.9719243
California Pine Valley,32.8214402,-116.5291841
Arizona Tucson,32.2226066,-110.9747108
California Los Angeles,34.0522342,-118.2436849
New York Accord,41.7856489,-74.2290366
Texas Trenton,33.4306652,-96.3385926
United Kingdom Cowbridge,51.46209,-3.449581
United Kingdom Birmingham,52.48624299999999,-1.890401
United Kingdom ,55.378051,-3.435973
"United Kingdom Leedstown, Cornwall",50.1608002,-5.355698800000001
"United Kingdom Brecon, Powys",51.9489469,-3.391463
Texas Cuero,29.0938652,-97.28915680000001
South Carolina West Columbia,33.9934867,-81.0739825
United Kingdom Newcastle,54.978252,-1.61778
