Casualty_Location,lat_c,lng_c
Afghanistan Wardak Wardak Province,34.3513494,68.2385339
Afghanistan Kabul Kabul,34.5553494,69.207486
Afghanistan Zabul Zabul Province,32.1918782,67.1894488
Afghanistan Faryab Faryab Province,36.0795613,64.90595499999999
Afghanistan Uruzgan Tarin Kowt,32.666404,65.9036295
Arabian Sea Unknown onboard USS Abraham Lincoln (CVN 72),12.2501506,64.33717
Afghanistan Helmand Helmand Province,31.3636474,63.95861110000001
Afghanistan Uruzgan Uruzgan Province,32.93021,66.63642899999999
Afghanistan Nangarhar Nangarhar,34.1718313,70.6216794
,37.2256055,-95.7162018
Afghanistan Parwan Bagram,34.9402503,69.2549736
Afghanistan Kunduz Kunduz,36.7285907,68.8680663
Germany Badghis Landstuhl,49.41414640000001,7.570905199999999
"Afghanistan Parwan Bagram Airfield, Bagram District",34.9402503,69.2549736
Germany Ghazni Landstuhl,49.41414640000001,7.570905199999999
Afghanistan Helmand Andar,32.8869444,64.31888889999999
Afghanistan Ghazni Andar,33.316667,68.45
Afghanistan Helmand Garmsir District,31.132511,64.212898
Afghanistan Herat Herat,34.352865,62.20402869999999
Afghanistan Helmand Helmand,31.3636474,63.95861110000001
Afghanistan Parwan Bagram Air Base,34.9437856,69.2631799
Afghanistan Logar Forward Operating Base Shank,34.0145518,69.1923916
Afghanistan Helmand Musa Qal'dal,32.3118725,64.811084
Afghanistan Parwan Khalazai area of Charikar,35.0107648,69.16258959999999
Afghanistan Paktika Zurmat,33.3300668,69.1923916
Afghanistan Uruzgan Tarin Kowt District,32.5483564,65.9511993
Afghanistan Nangarhar Tagab District,34.7601856,69.81208939999999
Afghanistan Nangarhar Achin district,34.08218,70.667035
Kuwait Unknown Camp Buehring,29.6860619,47.4173055
Afghanistan Logar Logar province,34.0145518,69.1923916
Afghanistan Logar Logar province (eastern),34.0145518,69.1923916
Afghanistan Kandahar Kandahar,31.628871,65.7371749
Afghanistan Parwan Bagram Air Field,34.9437856,69.2631799
Afghanistan Nangarhar Nangarhar Province,34.1718313,70.6216794
Afghanistan Nangarhar southern Nangarhar province,34.1718313,70.6216794
Afghanistan Logar Logar,34.0145518,69.1923916
United States Parwan Walter Reed National Medical Center,39.0015809,-77.09387269999999
Afghanistan Parwan Bagram Airfield,34.9437856,69.2631799
Afghanistan Helmand Lashgar Gah,31.6095648,64.4082082
Djibouti Unknown Camp Lemonnier,11.5432266,43.1512486
Bahrain Unknown Manama,26.2235305,50.5875935
Afghanistan Helmand Marjah District,31.517771,64.114227
Afghanistan Nangarhar Jalalabad Airfield,34.400833,70.49722299999999
Afghanistan Unknown northern Afghanistan,NAN,NAN
Afghanistan Helmand Camp Antonik (near),31.3636474,63.95861110000001
Afghanistan Parwan Bagram Airbase,34.9437856,69.2631799
Afghanistan Nangarhar Jalalabad,34.4283529,70.45780189999999
Afghanistan Eastern Afghanistan Eastern Afghanistan,33.93911,67.709953
Afghanistan Parwan Parwan,34.9630977,68.81088489999999
Afghanistan Zabul Zabul,32.1918782,67.1894488
Qatar Unknown Doha,25.2854473,51.53103979999999
"Germany Helmand Landstuhl Reg. Med. Center, Landstuhl, Germany",49.40426,7.559619999999999
Afghanistan Ghazni Ghazni,33.5450587,68.4173972
Afghanistan Paktia Gardez,33.6042793,69.2281531
Afghanistan Kabul Camp Qargha,34.5305919,69.1806498
Afghanistan Kandahar Mirugol Kalay,31.628871,65.7371749
United States Ghazni Brooke Army Medical Center,29.459702,-98.4166698
Czech Republic Parwan Prague,50.0755381,14.4378005
Afghanistan Parwan Bagram Air Force Base,34.9402503,69.2549736
Afghanistan Zabul Gaza Village,32.1918782,67.1894488
Afghanistan Paktika Paktika,32.2645386,68.52471489999999
Afghanistan Kandahar Maruf district,31.3808931,67.237117
Jordan Unknown Jordan,NAN,NAN
