Casualty_Location,lat,lng
Afghanistan Wardak,34.3513494,68.2385339
Afghanistan Kabul,34.5553494,69.207486
Afghanistan Zabul,32.1918782,67.1894488
Afghanistan Faryab,36.0795613,64.90595499999999
Afghanistan Uruzgan,32.9271287,66.1415263
Arabian Sea Unknown,12.2501506,64.33717
Afghanistan Helmand,31.3636474,63.95861110000001
Afghanistan Nangarhar,34.1718313,70.6216794
,37.2256055,-95.7162018
Afghanistan Parwan,34.9630977,68.81088489999999
Afghanistan Kunduz,36.7285907,68.8680663
Germany Badghis,35.1671339,63.7695384
Germany Ghazni,33.5450587,68.4173972
Afghanistan Ghazni,33.5450587,68.4173972
Afghanistan Herat,34.352865,62.20402869999999
Afghanistan Logar,34.0145518,69.1923916
Afghanistan Paktika,32.2645386,68.52471489999999
Kuwait Unknown,NAN,NAN
Afghanistan Kandahar,31.628871,65.7371749
United States Parwan,37.8421975,-112.8279996
Djibouti Unknown,NAN,NAN
Bahrain Unknown,NAN,NAN
Afghanistan Unknown,NAN,NAN
Afghanistan Eastern Afghanistan,29.7132308,-95.4943471
Qatar Unknown,NAN,NAN
Germany Helmand,31.3636474,63.95861110000001
Afghanistan Paktia,33.706199,69.3831079
United States Ghazni,33.5450587,68.4173972
Czech Republic Parwan,34.9630977,68.81088489999999
Jordan Unknown,NAN,NAN
United States Herat,37.09024,-95.712891
Afghanistan Balkh,36.7550603,66.8975372
Germany Unknown,NAN,NAN
Afghanistan Kapisa,34.9810572,69.6214562
Germany Logar,34.0145518,69.1923916
Afghanistan Southern Afghanistan,33.93911,67.709953
Afghanistan Northern Afghanistan,31.517771,64.114227
International Waters Unknown,NAN,NAN
United States Logar,34.0145518,69.1923916
Afghanistan Laghman,34.6897687,70.1455805
United States Kandahar,31.628871,65.7371749
Afghanistan Khost,33.3338472,69.9371673
United States Wardak,34.3513494,68.2385339
Afghanistan Farah,32.4464635,62.1454133
Afghanistan Qatar,25.2732374,51.495847
Afghanistan Baghlan,35.8042947,69.2877535
Kyrgyzstan Unknown,NAN,NAN
Germany Wardak,34.3513494,68.2385339
Germany Paktika,32.2645386,68.52471489999999
Germany Kandahar,47.47153280000001,11.0636234
Southwest Asia Unknown,34.047863,100.6196553
United States Kabul,34.5357075,69.1905501
Afghanistan western Afghanistan,NAN,NAN
United States Unknown,38.876392,-77.0721696
Not reported yet Unknown,NAN,NAN
Spain Unknown,NAN,NAN
England Helmand,31.3636474,63.95861110000001
Afghanistan Nuristan,35.3250223,70.90712359999999
Afghanistan Bamyan,34.8100067,67.8212104
Afghanistan Kunar,34.8465893,71.097317
United States Afghanistan,34.5357075,69.1905501
Afghanistan Badghis,35.1671339,63.7695384
Georgia Helmand,31.3636474,63.95861110000001
Germany Khost,33.3338472,69.9371673
Afghanistan Afghanistan,33.93911,67.709953
United States Laghman,34.6897687,70.1455805
UK Helmand,31.3636474,63.95861110000001
Africa Unknown,-8.783195,34.508523
United Arab Emirates Unknown,NAN,NAN
Germany Balkh,36.7550603,66.8975372
Czech Republic Wardak,34.3513494,68.2385339
Afghanistan Takhar,36.6698013,69.4784541
Afghanistan Panjshir,35.5025772,69.9550338
Poland Wardak,34.3513494,68.2385339
Germany Nangarhar,34.1718313,70.6216794
Afghanistan Nimroz,31.0261488,62.4504154
Germany Kunar,35.0883133,71.36685039999999
Africa Djibouti,11.825138,42.590275
Afghanistan Samangan,35.9807296,67.57085359999999
Hungary Baghlan,36.17890260000001,68.74530639999999
Germany Zabul,32.1918782,67.1894488
United States Helmand,31.3636474,63.95861110000001
United States Nangarhar,34.1718313,70.6216794
United States Kunar,34.8465893,71.097317
Canada Kandahar,51.759003,-104.360821
Pakistan Swat,35.2227114,72.4258145
Denmark Afghanistan,NAN,NAN
England Kandahar,31.628871,65.7371749
France Kapisa,34.9810572,69.6214562
Germany Kunduz,36.7285907,68.8680663
Philippines Jolo,5.969181499999999,121.1252135
Poland Ghazni,33.5450587,68.4173972
Germany Parwan,34.9630977,68.81088489999999
United States Paktika,32.2645386,68.52471489999999
United States Nuristan,35.3250223,70.90712359999999
Afghanistan Ghor,34.0995776,64.90595499999999
United States Khost,33.3338472,69.9371673
Denmark Kandahar,31.628871,65.7371749
United States Jowzjan,36.8969692,65.6658568
Italy Unknown,NAN,NAN
Afghanistan Jowzjan,36.8969692,65.6658568
Holland Uruzgan,32.9271287,66.1415263
Czech Republic Badakshan,36.7347725,70.81199529999999
Italy Kabul,34.5357234,69.1870319
Germany Afghanistan,34.5319558,69.1802846
Germany Farah,NAN,NAN
International Waters International Waters,46.9115589,-96.79508349999999
